Ο αριθμός επειγόντων περιστατικών (κλήση για βοήθεια) είναι:,112,911,166,199
*Το σφυγμικό οξύμετρο μετράει:,!Τον κορεσμό της αιμοσφαιρίνης του αίματος ασθενών σε οξυγόνο,Τον αριθμό Η+ στο αίμα,Ποσότητα οξυγόνου στο αίμα,Όλα τα παραπάνω 
Σε ποια τιμή γλυκόζης του αίματος παρουσιάζεται σοβαρή υπογλυκαιμία;,30-35mg/dl,50-70mg/dl,20-25mg/dl,80-90mg/dl
*Στην κρίση άσθματος έχουμε:,Αναπνευστική Σιγή,Εκπνευστικο συριγμό,Ταχυκαρδία,!Όλα τα παραπάνω 
"Στην ΚΑΡΠΑ, η αναλογία των θωρακικών συμπιέσεων με τις εμφυσήσεις αέρα είναι:",30:2,15:10,10:5,30:5
Μετά από πόσους κύκλους ΚΑΡΠΑ χρησιμοποιείται ο απινιδωτης;,5,8,3,10
Πόσο πιστεύετε ανέρχεται το ποσοστό περιστατικών που εισέρχονται σε κλινική από δηλητηριάσεις με σκοπό την αυτοκτονία; ,90%,80%,65%,75%
"*Σε περίπτωση δηλητηρίασης απο οπιοειδή, ως αντίδοτο μπορεί να χρησιμοποιηθεί:",!Ναλοξόνη,Φλουμαζελίνη,Co-EDTA,Όλα τα παραπάνω
*Λιποθυμάει κάποιος στο φαρμακείο λόγω απόφραξης του ανώτερου αεραγωγού. Τι το προκάλεσε;,Υπερβολική δόση κάποιου φαρμάκου,Έλλειψη οξυγόνου της ατμόσφαιρας,!Μετατόπιση της γλώσσας προς το οπίσθιο τοίχωμα του φάρυγγα,Τίποτα από τα παραπάνω
Δίνεις σε κοριτσάκι καραμέλα και πνίγεται οπότε επεμβαίνεις γρήγορα για να το σώσεις. Τι θα κάνεις ;,Χειρισμό Ηeimlich ,Κάλεις ασθενοφόρο και περιμένεις.,Χειρισμό Rautek,Τεχνητή αναπνοή με μάσκα
Ποιό αίτο υποξίας διορθώνεται καλύτερα με τη χορήγηση οξυγόνου; ,Tο μεγάλο υψόμετρο ,H αναιμία,H μειωμένη καρδιακή παροχή ,H επικοινωνία με κατεύθυνση απο δεξιά προς τα αριστερά
Σε καρδιακή ανακοπή συνίσταται :,Xαμηλή θέση της κεφαλής σε γωνία 15 μοίρες,H τοποθέτηση μαξιλαριού στο κεφάλι του ασθενή ,H υψηλή θέση θώρακα ,H ημικαθεστηκυία θέση 
Ποιά από τα παρακάτω είναι αίτια υπερκαλιαίμιας:,"Έλλειψη ινσουλίνης , σπειρονολακτόνη, αυξημένη ωσμωτικότητα","Έλλειψη ινσουλίνης, υπεραλδοστερονισμός","Διουρητικά της αγκύλης, υπερωσμωτικότητα, μεταβολική αλκάλωση","Έλλειψη ινσουλίνης, υπεραλδοστερονισμός και αυξημένη ωσμωτικότητα"
"Όσο αφορά τις δράσεις της παραθορμόνης στους νεφρούς, ποιά από τα παρακάτω παρατηρούνται:",Ανασστολή της συμμεταφοράς Να+-φωσφωρικών και μείωση της απέκρισσης Ca+ στα ούρα,"Μειωμένη απέκκριση φωσφορικών στα ούρα, μειωμένη απέκκριση ασβεστίου στα ούρα και μειωμένο κυκλικό ΑΜΡ στα ούρα",Αναστολή της συμμεταφοράς Να+-φωσφορικών και μειωμένη απέκκριση ασβεστείου στα ούρα,Μειωμένη απέκκριση φωσφορικών στα ουρα και μειωμένο κυκλικό ΑΜΡ στα ούρα
*Ένας ασθενής εμφανίζει αλεργικό shock οπότε αρχικά χορηγείται επινεφρίνη . Ποιος είναι ο τρόπος χορήγησης ;,Από το στόμα,!Υποδόρια ή ενδομυικά ,Ενδοδερμικά ,Όλα τα παραπάνω 
*Το φάρμακο χολεστυραμίνη χρησιμοποιείται κυρίως για την αντιμετώπιση:,!της διάρροιας από χολικά οξέα,της διάρροιας απο τροφική δηλητηρίαση,της στεατορροίας ,Τίποτα από τα παραπάνω 
Άτομο με γλαύκωμα έρχεται στο φαρμακείο έχοντας πάθει αλεργικό σοκ. Τι δεν μπορεί να χορηγηθεί;,κορτιζόνη,πενικιλλίνη ,καρβονική ανυδράση ,ακεταζολαμίδη 
΄Ενας πελάτης στο φαρμακείο σαςβαναφερεί οτι πάσχει από υπερθυρεοειδισμό. Στην προσπάθεια του να σας περιγράψει την αγωγή που του χορηγήθηκε δεν καταφέρνει και πολλά. Ποιό από τα παρακάτω δεν μπορεί να αποτελεί μέρος της θεραπείας;,Η υποκατάσταση με θυρεοειδικές ορμόνες,Θυρεοειδεκτομή,ραδιενεργό ιώδιο,β-Αδρενεργικοί αναστολείς
Η χορήγηση της ασπιρίνης σε ασταθή στηθάγχη προκαλεί:,Μείωση του κινδύνου εμφράγματος του μυοκαρδίου,Αυξάνει την πιθανότητα εμφράγματος,Προκαλεί άμεση ύφεση του πόνου,Προστατεύτει απο την επανεμφάνιση του πόνου 
*Συμπτώματα απο οξύ έμφραγμα μυοκαρδίου : ,Δυσκολία αναπνοής ,Κεφαλαλγία ,!Έντονος πόνος οπισθοστερνικά ,Όλα τα παραπάνω
*Για την σταθεροποίηση του καρδιακού ρυθμού σε περίπτωση οξέος εμφράγματος μυοκαρδίου χορηγείται: ,!ατροπίνη,μoρφίνη,νιτρογλυκερίνη,Tίποτα απο τα παραπάνω 
*Σε περιπτώσεις ιογενούς περικαρδίτιδας χορηγείται: ,!ασπιρίνη,ιδομεθακίνη,Όλα τα παραπάνω,Τίποτα απο τα παραπάνω 
*Υπέρταση θεωρείται:,Αύξηση της διαστολικής αρτηριακής πίεσης πάνω απο 90mmHg,!Αύξηση της συστολικής πίεσης πάνω από150mmHg,Αύξηση της συστολικής πίεσης πάνω απο 160mmHg ,Τα α και β 
"*Φάρμακα που προκαλούν υποκαλιαιμία, όπως αρκετά διουρητικά, μπορούν να οδηγήσουν σε τοξικότητα κατά της συγχορήγησή τους με: ",!Kαρδιοτονωτικούς γλυκοζίτες,Συμπαθομιμητικά φάρμακα,Παρασυμπαθητικομιμητικά φάρμακα,Τίποτα από τα παραπάνω
*Σε επείγουσες καταστάσεις υπέρτασης χορηγείται ενδοφλεβίως νιτροπρωσσικό: ,K+,Ca++,!Να+,Τίποτα από τα παραπάνω 
Ένας πελάτης στο φαρμακείο έρχεται και σας λέει πως έχει υδαρή διάρροια που προέκυψε αφού κατανάλωσε θαλασσινά τρόφιμα. Του συστήνετε επανυδάτωση και του δίνετε:,Σκεύασμα με δραστική ουσία τη δοξυκυκλίνη,Σκεύασμα με δραστική ουσία την παρακεταμόλη,Σκεύασμα με δραστική ουσία την ομερπραζόλη ,Σκεύασμα με δραστική ουσία την ρανιτιδίνη
*Ποιό απο τα παρακάτω αποτελεί αίτιο αιμορραγίας; ,Έλκος στομάχου,Ρήξη ύπατος.,Θρομβοπενίες,!Όλα τα παραπάνω
